"Date","Site","Salinity","Code","lat","lon","Year","Month","Nights_Fished","Hours_Fished","Weather","Subsample","Metacarcinus_magister_megalopae","Metacarcinus_magister_instar","TotalMmagister","CPUE_Night","CPUE_Hour","Error_Code","week","loc.lat"
2025-05-21,"Horseshoe Bay",17.644375,"HOR",49.375655,-123.27313,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Horseshoe Bay"
2025-05-21,"Miners Bay",28.859375,"MIN",48.852116,-123.30153,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",21,"Miners Bay"
2025-05-21,"Pender Harbour",23.9152083333333,"PDH",49.623357,-124.02568,"2025","May",1,8.5,"Overcast","N",0,0,0,0,0,"None",21,"Pender Harbour"
2025-05-21,"Quathiaski Cove",27.9777083333333,"QUA",50.042604,-125.21604,"2025","May",1,8.5,"Sunny,Overcast","N",0,0,0,0,0,"None",21,"Quathiaski Cove"
2025-05-21,"Tofino",23.23625,"TOF",49.151969,-125.89702,"2025","May",2,17,"Sunny","N",172,59,231,115.5,13.58823529,"None",21,"Tofino"
2025-05-21,"Whaler Bay",24.6422916666667,"WHA",48.884619,-123.32731,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",21,"Whaler Bay"
2025-05-22,"Daajing Giids",28.21875,"DAA",53.252061,-132.07252,"2025","May",2,15,"Overcast","N",0,0,0,0,0,"None",21,"Daajing Giids"
2025-05-22,"Ford Cove",28.330625,"FOR",49.497028,-124.67667,"2025","May",1,4,"Sunny","N",0,0,0,0,0,"HRS",21,"Ford Cove"
2025-05-22,"Hope Bay",27.8116666666667,"HOP",48.803253,-123.27521,"2025","May",1,8.5,"Sunny","N",0,0,0,0,0,"None",21,"Hope Bay"
2025-05-22,"Indian Arm",11.4714583333333,"IND",49.461387,-122.88625,"2025","May",3,25.5,"Sunny,Windy","N",0,0,0,0,0,"None",21,"Indian Arm"
2025-05-22,"Silva Bay",22.2452083333333,"SIL",49.149062,-123.69713,"2025","May",2,17,"Sunny,Windy","N",6,0,6,3,0.352941176,"None",21,"Silva Bay"
2025-05-23,"Daajing Giids",27.3170833333333,"DAA",53.252061,-132.07252,"2025","May",1,7.5,"Overcast","N",0,0,0,0,0,"None",21,"Daajing Giids"
2025-05-23,"Echo Bay",25.0552083333333,"ECH",50.745688,-126.499202,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Echo Bay"
