Site,Date,Time,Temperature_C
PBS,17/04/2022,5:30:00,19.83
PBS,17/04/2022,5:40:00,19.87
PBS,17/04/2022,5:50:00,19.8
PBS,17/04/2022,6:00:00,19.65
PBS,17/04/2022,6:10:00,19.52
PBS,17/04/2022,6:20:00,19.38
PBS,17/04/2022,6:30:00,19.3
PBS,17/04/2022,6:40:00,19.2
PBS,17/04/2022,6:50:00,19.18
PBS,17/04/2022,7:00:00,19.12
PBS,17/04/2022,7:10:00,19.08
PBS,17/04/2022,7:20:00,19.04
PBS,17/04/2022,7:30:00,19
PBS,17/04/2022,7:40:00,18.99
PBS,17/04/2022,7:50:00,18.97
PBS,17/04/2022,8:00:00,18.92
PBS,17/04/2022,8:10:00,18.89
PBS,17/04/2022,8:20:00,18.88
PBS,17/04/2022,8:30:00,18.86
PBS,17/04/2022,8:40:00,18.85
PBS,17/04/2022,8:50:00,18.83
PBS,17/04/2022,9:00:00,18.79
PBS,17/04/2022,9:10:00,18.77
PBS,17/04/2022,9:20:00,18.71
PBS,17/04/2022,9:30:00,18.67
PBS,17/04/2022,9:40:00,18.64
PBS,17/04/2022,9:50:00,18.62
PBS,17/04/2022,10:00:00,18.58
PBS,17/04/2022,10:10:00,18.55
PBS,17/04/2022,10:20:00,18.54
PBS,17/04/2022,10:30:00,18.51
PBS,17/04/2022,10:40:00,18.47
PBS,17/04/2022,10:50:00,18.42
PBS,17/04/2022,11:00:00,18.4
PBS,17/04/2022,11:10:00,18.34
PBS,17/04/2022,11:20:00,18.29
PBS,17/04/2022,11:30:00,18.24
PBS,17/04/2022,11:40:00,18.22
PBS,17/04/2022,11:50:00,18.21
PBS,18/04/2022,12:00:00,18.18
PBS,18/04/2022,12:10:00,18.18
PBS,18/04/2022,12:20:00,18.17
PBS,18/04/2022,12:30:00,18.15
PBS,18/04/2022,12:40:00,18.1
PBS,18/04/2022,12:50:00,18.08
PBS,18/04/2022,1:00:00,18.06
PBS,18/04/2022,1:10:00,18
PBS,18/04/2022,1:20:00,18.02
PBS,18/04/2022,1:30:00,17.99
PBS,18/04/2022,1:40:00,18
PBS,18/04/2022,1:50:00,17.95
PBS,18/04/2022,2:00:00,17.93
PBS,18/04/2022,2:10:00,17.93
PBS,18/04/2022,2:20:00,17.93
PBS,18/04/2022,2:30:00,17.94
PBS,18/04/2022,2:40:00,17.92
PBS,18/04/2022,2:50:00,17.9
PBS,18/04/2022,3:00:00,17.88
PBS,18/04/2022,3:10:00,17.85
PBS,18/04/2022,3:20:00,17.85
PBS,18/04/2022,3:30:00,17.83
PBS,18/04/2022,3:40:00,17.8
PBS,18/04/2022,3:50:00,17.79
PBS,18/04/2022,4:00:00,17.77
PBS,18/04/2022,4:10:00,17.75
PBS,18/04/2022,4:20:00,17.72
PBS,18/04/2022,4:30:00,17.72
PBS,18/04/2022,4:40:00,17.69
PBS,18/04/2022,4:50:00,17.66
PBS,18/04/2022,5:00:00,17.62
PBS,18/04/2022,5:10:00,17.62
PBS,18/04/2022,5:20:00,17.6
PBS,18/04/2022,5:30:00,17.56
PBS,18/04/2022,5:40:00,17.54
PBS,18/04/2022,5:50:00,17.5
PBS,18/04/2022,6:00:00,17.5
PBS,18/04/2022,6:10:00,17.47
PBS,18/04/2022,6:20:00,17.45
PBS,18/04/2022,6:30:00,17.4
PBS,18/04/2022,6:40:00,17.37
PBS,18/04/2022,6:50:00,17.35
PBS,18/04/2022,7:00:00,17.35
PBS,18/04/2022,7:10:00,17.32
PBS,18/04/2022,7:20:00,17.3
PBS,18/04/2022,7:30:00,17.28
PBS,18/04/2022,7:40:00,17.23
PBS,18/04/2022,7:50:00,17.22
PBS,18/04/2022,8:00:00,17.2
PBS,18/04/2022,8:10:00,17.17
PBS,18/04/2022,8:20:00,17.15
PBS,18/04/2022,8:30:00,17.11
PBS,18/04/2022,8:40:00,17.09
PBS,18/04/2022,8:50:00,17.1
PBS,18/04/2022,9:00:00,17.07
PBS,18/04/2022,9:10:00,17.03
PBS,18/04/2022,9:20:00,17.01
PBS,18/04/2022,9:30:00,17.01
PBS,18/04/2022,9:40:00,16.99
PBS,18/04/2022,9:50:00,16.99
PBS,18/04/2022,10:00:00,16.99
PBS,18/04/2022,10:10:00,16.95
PBS,18/04/2022,10:20:00,16.94
PBS,18/04/2022,10:30:00,16.9
PBS,18/04/2022,10:40:00,16.9
PBS,18/04/2022,10:50:00,16.86
PBS,18/04/2022,11:00:00,16.84
PBS,18/04/2022,11:10:00,16.81
PBS,18/04/2022,11:20:00,16.84
PBS,18/04/2022,11:30:00,16.87
PBS,18/04/2022,11:40:00,16.91
PBS,18/04/2022,11:50:00,16.88
PBS,18/04/2022,12:00:00,16.84
PBS,18/04/2022,12:10:00,16.86
PBS,18/04/2022,12:20:00,16.89
PBS,18/04/2022,12:30:00,16.91
PBS,18/04/2022,12:40:00,16.95
PBS,18/04/2022,12:50:00,16.95
PBS,18/04/2022,1:00:00,16.99
PBS,18/04/2022,1:10:00,17.01
PBS,18/04/2022,1:20:00,17.08
PBS,18/04/2022,1:30:00,17.15
PBS,18/04/2022,1:40:00,17.2
PBS,18/04/2022,1:50:00,17.2
PBS,18/04/2022,2:00:00,17.25
PBS,18/04/2022,2:10:00,17.28
PBS,18/04/2022,2:20:00,17.29
PBS,18/04/2022,2:30:00,17.26
PBS,18/04/2022,2:40:00,17.26
PBS,18/04/2022,2:50:00,17.28
PBS,18/04/2022,3:00:00,17.22
PBS,18/04/2022,3:10:00,17.26
PBS,18/04/2022,3:20:00,17.31
PBS,18/04/2022,3:30:00,17.34
PBS,18/04/2022,3:40:00,17.4
PBS,18/04/2022,3:50:00,17.43
PBS,18/04/2022,4:00:00,17.43
PBS,18/04/2022,4:10:00,17.47
PBS,18/04/2022,4:20:00,17.5
PBS,18/04/2022,4:30:00,17.51
PBS,18/04/2022,4:40:00,17.5
PBS,18/04/2022,4:50:00,17.51
PBS,18/04/2022,5:00:00,17.54
PBS,18/04/2022,5:10:00,17.55
PBS,18/04/2022,5:20:00,17.55
PBS,18/04/2022,5:30:00,17.56
PBS,18/04/2022,5:40:00,17.6
PBS,18/04/2022,5:50:00,17.66
PBS,18/04/2022,6:00:00,17.66
PBS,18/04/2022,6:10:00,17.72
PBS,18/04/2022,6:20:00,17.7
PBS,18/04/2022,6:30:00,17.76
PBS,18/04/2022,6:40:00,17.76
PBS,18/04/2022,6:50:00,17.79
PBS,18/04/2022,7:00:00,17.78
PBS,18/04/2022,7:10:00,17.8
PBS,18/04/2022,7:20:00,17.84
PBS,18/04/2022,7:30:00,17.87
PBS,18/04/2022,7:40:00,17.87
PBS,18/04/2022,7:50:00,17.89
PBS,18/04/2022,8:00:00,17.9
PBS,18/04/2022,8:10:00,17.9
PBS,18/04/2022,8:20:00,17.84
PBS,18/04/2022,8:30:00,17.81
PBS,18/04/2022,8:40:00,17.81
PBS,18/04/2022,8:50:00,17.78
PBS,18/04/2022,9:00:00,17.8
PBS,18/04/2022,9:10:00,17.76
PBS,18/04/2022,9:20:00,17.74
PBS,18/04/2022,9:30:00,17.74
PBS,18/04/2022,9:40:00,17.75
PBS,18/04/2022,9:50:00,17.75
PBS,18/04/2022,10:00:00,17.7
PBS,18/04/2022,10:10:00,17.66
PBS,18/04/2022,10:20:00,17.69
PBS,18/04/2022,10:30:00,17.67
PBS,18/04/2022,10:40:00,17.64
PBS,18/04/2022,10:50:00,17.6
PBS,18/04/2022,11:00:00,17.62
PBS,18/04/2022,11:10:00,17.6
PBS,18/04/2022,11:20:00,17.55
PBS,18/04/2022,11:30:00,17.49
PBS,18/04/2022,11:40:00,17.44
PBS,18/04/2022,11:50:00,17.4
PBS,19/04/2022,12:00:00,17.36
PBS,19/04/2022,12:10:00,17.31
PBS,19/04/2022,12:20:00,17.25
PBS,19/04/2022,12:30:00,17.23
PBS,19/04/2022,12:40:00,17.17
PBS,19/04/2022,12:50:00,17.15
PBS,19/04/2022,1:00:00,17.08
PBS,19/04/2022,1:10:00,17.03
PBS,19/04/2022,1:20:00,17.02
PBS,19/04/2022,1:30:00,16.98
PBS,19/04/2022,1:40:00,16.93
PBS,19/04/2022,1:50:00,16.88
PBS,19/04/2022,2:00:00,16.86
